base_year_month,time_type,user_type,age_range,use_amount_by_million
201806,저녁,내국인,30대,4159
201806,저녁,내국인,40대,4276
201806,저녁,내국인,50대,3592
201806,저녁,내국인,60대,1633
201806,저녁,내국인,70대 이상,385
201806,저녁,제주도민,19세 이하,37
201806,저녁,제주도민,20대,1756
201806,저녁,제주도민,30대,3667
201806,저녁,제주도민,40대,6246
201806,저녁,제주도민,50대,5983
201806,저녁,제주도민,60대,2712
201806,저녁,제주도민,70대 이상,666
201806,점심,내국인,19세 이하,19
201806,점심,내국인,20대,1421
201806,점심,내국인,30대,3139
201806,점심,내국인,40대,3160
201806,점심,내국인,50대,2609
201806,점심,내국인,60대,1399
201806,점심,내국인,70대 이상,437
201806,점심,제주도민,19세 이하,10
201806,점심,제주도민,20대,769
201806,점심,제주도민,30대,2029
201806,점심,제주도민,40대,3707
201806,점심,제주도민,50대,3828
201806,점심,제주도민,60대,2127
201806,점심,제주도민,70대 이상,819
201807,밤,내국인,19세 이하,3
201807,밤,내국인,20대,909
201807,밤,내국인,30대,1252
201807,밤,내국인,40대,1280
201807,밤,내국인,50대,1007
201807,밤,내국인,60대,347
201807,밤,내국인,70대 이상,68
201807,밤,제주도민,19세 이하,14
201807,밤,제주도민,20대,1166
201807,밤,제주도민,30대,1752
201807,밤,제주도민,40대,2752
201807,밤,제주도민,50대,2316
201807,밤,제주도민,60대,633
201807,밤,제주도민,70대 이상,109
201807,오전,내국인,19세 이하,5
201807,오전,내국인,20대,1006
201807,오전,내국인,30대,1791
201807,오전,내국인,40대,2050
201807,오전,내국인,50대,1668
201807,오전,내국인,60대,740
201807,오전,내국인,70대 이상,210
201807,오전,제주도민,19세 이하,6
201807,오전,제주도민,20대,369
201807,오전,제주도민,30대,1081
201807,오전,제주도민,40대,2113
201807,오전,제주도민,50대,2344
201807,오전,제주도민,60대,1356
201807,오전,제주도민,70대 이상,544
201807,오후,내국인,19세 이하,18
201807,오후,내국인,20대,2491
201807,오후,내국인,30대,4248
201807,오후,내국인,40대,4425
201807,오후,내국인,50대,3329
201807,오후,내국인,60대,1505
201807,오후,내국인,70대 이상,412
201807,오후,제주도민,19세 이하,30
201807,오후,제주도민,20대,1074
201807,오후,제주도민,30대,2777
201807,오후,제주도민,40대,5033
201807,오후,제주도민,50대,4934
201807,오후,제주도민,60대,2589
201807,오후,제주도민,70대 이상,915
201807,저녁,내국인,19세 이하,11
201807,저녁,내국인,20대,2633
201807,저녁,내국인,30대,3993
201807,저녁,내국인,40대,4356
201807,저녁,내국인,50대,3377
201807,저녁,내국인,60대,1360
201807,저녁,내국인,70대 이상,344
201807,저녁,제주도민,19세 이하,37
201807,저녁,제주도민,20대,1851
201807,저녁,제주도민,30대,3900
201807,저녁,제주도민,40대,6642
201807,저녁,제주도민,50대,6295
201807,저녁,제주도민,60대,2684
201807,저녁,제주도민,70대 이상,678
201807,점심,내국인,19세 이하,9
201807,점심,내국인,20대,1955
201807,점심,내국인,30대,3156
